County.Code,County.Name,Test.Id,Test.Name,Grade,Students.Tested,Mean.Scale.Score,Count.Test.Grade,Pct.Test.Grade,Population,per.capita.income,median.household.income,median.family.income,Spend,ADAttend,Spend.Per.ADA
3,Amador,15,CST Summative High School Mathematics,11,39,353.2,124304,0.000313747,38244,28030,56180,69521,24267562,3512,6909
3,Amador,21,CST Chemistry,11,40,336.9,133804,0.000298945,38244,28030,56180,69521,24267562,3512,6909
3,Amador,11,CST Geometry,11,38,298.5,78308,0.000485263,38244,28030,56180,69521,24267562,3512,6909
3,Amador,23,CST Physics,11,20,370.7,56726,0.000352572,38244,28030,56180,69521,24267562,3512,6909
3,Amador,20,CST Biology,11,93,355.9,99776,0.000932088,38244,28030,56180,69521,24267562,3512,6909
3,Amador,22,CST Earth Science,11,33,354.7,42331,0.000779571,38244,28030,56180,69521,24267562,3512,6909
3,Amador,19,CST U.S. History,11,302,337.8,447386,0.000675032,38244,28030,56180,69521,24267562,3512,6909
3,Amador,7,CST English-Language Arts,11,333,339.9,440115,0.00075662,38244,28030,56180,69521,24267562,3512,6909
3,Amador,9,CST Algebra I,11,61,288.2,49868,0.001223229,38244,28030,56180,69521,24267562,3512,6909
3,Amador,13,CST Algebra II,11,68,307.7,122079,0.000557016,38244,28030,56180,69521,24267562,3512,6909
3,Amador,28,CST General Mathematics,13,279,328.3,190615,0.001463683,38244,28030,56180,69521,24267562,3512,6909
3,Amador,13,CST Algebra II,13,128,333.9,286737,0.000446402,38244,28030,56180,69521,24267562,3512,6909
3,Amador,9,CST Algebra I,13,510,306.6,711705,0.000716589,38244,28030,56180,69521,24267562,3512,6909
3,Amador,11,CST Geometry,13,199,332.6,407658,0.000488154,38244,28030,56180,69521,24267562,3512,6909
3,Amador,20,CST Biology,13,396,354.9,556893,0.000711088,38244,28030,56180,69521,24267562,3512,6909
3,Amador,21,CST Chemistry,13,105,352.2,275452,0.000381192,38244,28030,56180,69521,24267562,3512,6909
3,Amador,22,CST Earth Science,13,300,347.4,206991,0.001449338,38244,28030,56180,69521,24267562,3512,6909
3,Amador,18,CST World History,13,355,332.9,474255,0.000748542,38244,28030,56180,69521,24267562,3512,6909
3,Amador,23,CST Physics,13,27,373.8,80833,0.000334022,38244,28030,56180,69521,24267562,3512,6909
3,Amador,15,CST Summative High School Mathematics,13,41,355.2,149987,0.000273357,38244,28030,56180,69521,24267562,3512,6909
4,Butte,7,CST English-Language Arts,2,2237,347.8,464896,0.004811829,219309,23431,42971,54175,230359261,25674,8972
4,Butte,8,CST Mathematics,2,2233,367.5,464515,0.004807164,219309,23431,42971,54175,230359261,25674,8972
4,Butte,8,CST Mathematics,3,2173,375.3,443961,0.004894574,219309,23431,42971,54175,230359261,25674,8972
4,Butte,7,CST English-Language Arts,3,2157,340.4,441572,0.004884821,219309,23431,42971,54175,230359261,25674,8972
4,Butte,8,CST Mathematics,4,2048,375.2,433012,0.004729661,219309,23431,42971,54175,230359261,25674,8972
4,Butte,7,CST English-Language Arts,4,2032,368.3,428906,0.004737635,219309,23431,42971,54175,230359261,25674,8972
4,Butte,7,CST English-Language Arts,5,2098,362.8,429498,0.004884772,219309,23431,42971,54175,230359261,25674,8972
